Date,Name,Year,Letterboxd URI,Rating
2017-06-13,Anomalisa,2015,https://boxd.it/97TE,4.5
2017-06-13,Coraline,2009,https://boxd.it/1NhQ,4
2017-06-16,The Lobster,2015,https://boxd.it/7tnw,4.5
2017-06-17,My Life as a Zucchini,2016,https://boxd.it/dL2y,4
2017-06-17,Star Wars: Episode III - Revenge of the Sith,2005,https://boxd.it/27US,3
2017-06-17,Star Wars: Episode II - Attack of the Clones,2002,https://boxd.it/27V2,1.5
2017-06-17,Short Term 12,2013,https://boxd.it/5f6s,4.5
2017-06-17,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa,3.5
2017-06-17,The Fundamentals of Caring,2016,https://boxd.it/aiai,3.5
2017-06-17,Krisha,2015,https://boxd.it/ax4E,4.5
2017-06-18,Ratatouille,2007,https://boxd.it/27ww,4
2017-06-18,"Monsters, Inc.",2001,https://boxd.it/2a46,4.5
2017-06-18,Toy Story,1995,https://boxd.it/29qA,4.5
2017-06-18,Toy Story 3,2010,https://boxd.it/1WRe,3.5
2017-06-18,Fences,2016,https://boxd.it/dL6A,4
2017-06-21,Star Wars: Episode I - The Phantom Menace,1999,https://boxd.it/27Vc,2.5
2017-06-22,Heavyweights,1995,https://boxd.it/1NjW,2
2017-06-24,Wakefield,2016,https://boxd.it/cPfk,2
2017-06-25,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4.5
2017-06-27,Shaun of the Dead,2004,https://boxd.it/29J8,4.5
2017-06-27,Jason Bourne,2016,https://boxd.it/ayYy,2.5
2017-07-12,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3.5
2017-07-16,The Big Sick,2017,https://boxd.it/eHvy,4
2017-07-16,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4
2017-07-17,The Gift,2015,https://boxd.it/aJMy,4
2017-07-22,The Prestige,2006,https://boxd.it/293w,4.5
2017-07-24,The Room,2003,https://boxd.it/1ICY,0.5
2017-07-27,Dope,2015,https://boxd.it/9Tho,4
2017-08-20,A Ghost Story,2017,https://boxd.it/fb0K,4.5
2017-08-21,Logan Lucky,2017,https://boxd.it/dZrs,3
2017-08-23,Django Unchained,2012,https://boxd.it/2cCk,4.5
2017-08-23,The Hateful Eight,2015,https://boxd.it/8gw8,4
2017-08-23,Paterson,2016,https://boxd.it/cRk2,4.5
2017-08-27,Good Time,2017,https://boxd.it/fcFu,4.5
2017-08-30,GoodFellas,1990,https://boxd.it/29FA,5
2017-09-09,It,2017,https://boxd.it/bC8e,2.5
2017-09-11,Requiem for a Dream,2000,https://boxd.it/29VI,4.5
2017-09-11,The Hitman's Bodyguard,2017,https://boxd.it/dCmO,2
2017-09-25,Alien: Covenant,2017,https://boxd.it/49UY,3.5
2017-09-25,Prometheus,2012,https://boxd.it/2s9e,3
2017-09-29,Wind River,2017,https://boxd.it/dR3i,3
2017-10-04,It Follows,2014,https://boxd.it/87wo,4
2017-10-12,Battle of the Sexes,2017,https://boxd.it/cNxw,3
2017-10-15,Raw,2016,https://boxd.it/dLd2,4
2017-10-15,Only God Forgives,2013,https://boxd.it/2HBs,3.5
2017-10-15,The Muppets,2011,https://boxd.it/1zg,3.5
2017-10-15,Bee Movie,2007,https://boxd.it/22Vw,2
2017-10-15,Cars,2006,https://boxd.it/29ho,2.5
2017-10-15,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,4.5
2017-10-19,Punch-Drunk Love,2002,https://boxd.it/20E4,4.5
2017-10-22,The Foreigner,2017,https://boxd.it/dbRg,3
2017-10-22,Captain Fantastic,2016,https://boxd.it/b2K2,4.5
2017-11-03,Thor,2011,https://boxd.it/1WQU,2
2017-11-03,Thor: The Dark World,2013,https://boxd.it/2DqA,2.5
2017-11-10,Murder on the Orient Express,2017,https://boxd.it/dHjA,3
2017-11-16,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2017-11-24,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,2.5
2017-11-25,Baby Driver,2017,https://boxd.it/bhF2,4
2017-12-07,Enemy,2013,https://boxd.it/5xtO,4
2017-12-07,Logan,2017,https://boxd.it/7Piy,4
2017-12-08,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2017-12-08,The Lego Batman Movie,2017,https://boxd.it/azp0,3
2017-12-08,Passengers,2016,https://boxd.it/8lFu,2
2017-12-08,Masterminds,2016,https://boxd.it/6mTe,1.5
2017-12-08,The Good Dinosaur,2015,https://boxd.it/3AD4,2
2017-12-08,Poltergeist,2015,https://boxd.it/79UK,1
2017-12-08,Insidious: Chapter 3,2015,https://boxd.it/8BkM,2
2017-12-08,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3.5
2017-12-08,Locke,2013,https://boxd.it/6hHC,3.5
2017-12-10,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2017-12-11,Arrival,2016,https://boxd.it/aNGk,4.5
2017-12-11,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,3
2017-12-13,mother!,2017,https://boxd.it/dgRU,4
2017-12-16,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3.5
2017-12-17,A Glimpse Inside the Mind of Charles Swan III,2012,https://boxd.it/45ZU,1.5
2017-12-19,Nacho Libre,2006,https://boxd.it/1YTG,3
2017-12-22,Tangerine,2015,https://boxd.it/9QRe,3.5
2017-12-22,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2017-12-26,Okja,2017,https://boxd.it/dvXe,3.5
2017-12-27,Ginger & Rosa,2012,https://boxd.it/41Ig,2.5
2017-12-27,The Incredibles,2004,https://boxd.it/1XLm,4.5
2017-12-29,The Truman Show,1998,https://boxd.it/18U8,4.5
2017-12-30,Frank,2014,https://boxd.it/5hII,4
2018-01-04,Bronson,2008,https://boxd.it/1GM8,4
2018-01-15,Obvious Child,2014,https://boxd.it/7i3A,3
2018-01-19,Fat Girl,2001,https://boxd.it/2a6w,4
2018-01-21,Phantom Thread,2017,https://boxd.it/e4uc,4
2018-01-21,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2018-01-24,Lady Bird,2017,https://boxd.it/dGNE,4.5
2018-01-24,The Greatest Showman,2017,https://boxd.it/acjI,2
2018-01-25,The Shape of Water,2017,https://boxd.it/dZ5m,4
2018-01-27,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2018-02-03,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2018-02-04,Seven Samurai,1954,https://boxd.it/2axi,5
2018-02-04,"I, Tonya",2017,https://boxd.it/dzR0,3.5
2018-02-09,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2018-02-11,Saving Private Ryan,1998,https://boxd.it/29ro,4
2018-02-15,Blade Runner,1982,https://boxd.it/2bcA,4.5
2018-02-16,Thor: Ragnarok,2017,https://boxd.it/8MHi,3
