Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2016-10-16,Children of the Corn,1984,https://boxd.it/bGHo9,2.5,,,2016-10-15
2016-10-30,The Da Vinci Code,2006,https://boxd.it/bSyW1,2.5,,,2016-10-29
2016-10-30,Bernie,2011,https://boxd.it/bSNAp,3.5,,,2016-10-29
2016-11-01,The Texas Chain Saw Massacre,1974,https://boxd.it/bUNGB,4,,,2016-10-31
2016-11-04,Doctor Strange,2016,https://boxd.it/bXqyF,3.5,,,2016-11-03
2016-11-13,Bernie,2011,https://boxd.it/c4h59,3.5,Yes,,2016-11-11
2016-11-13,Only God Forgives,2013,https://boxd.it/c4JLx,4,,,2016-11-12
2016-11-26,Before the Flood,2016,https://boxd.it/cfLyR,,,,2016-11-16
2016-11-19,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/c9JPz,2.5,,,2016-11-18
2016-11-20,Casino Royale,2006,https://boxd.it/caPld,4,,,2016-11-19
2016-11-21,Arrival,2016,https://boxd.it/cbwxr,4.5,,,2016-11-20
2016-11-22,Sausage Party,2016,https://boxd.it/ccYFv,3,,,2016-11-21
2016-11-23,Moonlight,2016,https://boxd.it/cdKUX,5,,,2016-11-22
2016-11-24,Don't Breathe,2016,https://boxd.it/cezvz,3.5,,,2016-11-23
2016-11-25,Arrival,2016,https://boxd.it/cfqOz,4.5,Yes,,2016-11-24
2016-11-26,Short Term 12,2013,https://boxd.it/cfQXR,4.5,,,2016-11-25
2016-11-29,Allied,2016,https://boxd.it/cjcOj,3.5,,,2016-11-28
2016-11-30,Fight Club,1999,https://boxd.it/cjOHZ,5,,,2016-11-29
2016-12-01,Donnie Darko,2001,https://boxd.it/ckzS1,5,,,2016-11-30
2016-12-02,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/cluXd,5,,,2016-12-01
2016-12-03,The Silence of the Lambs,1991,https://boxd.it/cmwap,5,,,2016-12-02
2016-12-04,Moana,2016,https://boxd.it/cnmo9,3.5,,,2016-12-03
2016-12-12,Bad Moms,2016,https://boxd.it/cuGYP,1,,,2016-12-10
2016-12-16,Rogue One: A Star Wars Story,2016,https://boxd.it/cyFSp,3.5,,,2016-12-15
2016-12-18,Moana,2016,https://boxd.it/cAdBT,3.5,Yes,,2016-12-17
2016-12-21,Nocturnal Animals,2016,https://boxd.it/cE09v,4.5,,,2016-12-20
2016-12-22,Passengers,2016,https://boxd.it/cF7v1,2.5,,,2016-12-21
2016-12-25,Manchester by the Sea,2016,https://boxd.it/cHRxB,5,,,2016-12-24
2016-12-28,Why Him?,2016,https://boxd.it/cLFTN,2,,,2016-12-27
2016-12-28,The Angry Birds Movie,2016,https://boxd.it/cM61D,2.5,,,2016-12-27
2017-01-02,Bee Movie,2007,https://boxd.it/cTpQp,2.5,Yes,,2017-01-01
2017-01-03,Fences,2016,https://boxd.it/cUkip,4.5,,,2017-01-02
2017-01-05,Office Christmas Party,2016,https://boxd.it/cXWGZ,1.5,,,2017-01-04
2017-01-06,E.T. the Extra-Terrestrial,1982,https://boxd.it/cZASD,4,Yes,,2017-01-05
2017-01-06,Flubber,1997,https://boxd.it/cZJhr,3,Yes,,2017-01-05
2017-01-07,What's Eating Gilbert Grape,1993,https://boxd.it/d176J,4,Yes,,2017-01-06
2017-01-08,La La Land,2016,https://boxd.it/d30Bf,5,,,2017-01-07
2017-01-14,Silence,2016,https://boxd.it/dagvB,4.5,,,2017-01-13
2017-01-15,La La Land,2016,https://boxd.it/dbGRZ,5,Yes,,2017-01-14
2017-01-16,Whiplash,2014,https://boxd.it/dejWX,5,,,2017-01-15
2017-01-17,Rogue One: A Star Wars Story,2016,https://boxd.it/dfcd9,3.5,Yes,,2017-01-16
2017-01-17,La La Land,2016,https://boxd.it/dfBVP,5,Yes,,2017-01-16
2017-01-22,Split,2016,https://boxd.it/dlMad,3,,,2017-01-21
2017-01-22,Unbreakable,2000,https://boxd.it/dm0DX,4.5,,,2017-01-21
2017-01-29,The Shining,1980,https://boxd.it/dvrxb,5,Yes,,2017-01-28
2017-02-05,The Founder,2016,https://boxd.it/dE3pZ,3.5,,,2017-02-04
2017-02-05,Hidden Figures,2016,https://boxd.it/dEM2B,3,,,2017-02-04
2017-02-11,The Lego Movie,2014,https://boxd.it/dNrvl,4,Yes,,2017-02-10
2017-02-16,The Lego Batman Movie,2017,https://boxd.it/ecYod,3.5,,,2017-02-15
2017-02-19,The Lego Batman Movie,2017,https://boxd.it/eso0r,3.5,Yes,,2017-02-18
2017-02-19,Oldboy,2003,https://boxd.it/eso3F,5,,,2017-02-18
2017-02-26,Get Out,2017,https://boxd.it/eOLgB,4.5,,,2017-02-25
2017-03-03,Logan,2017,https://boxd.it/f2umF,4,,,2017-03-02
2017-03-14,Get Out,2017,https://boxd.it/fsSGL,4.5,Yes,,2017-03-13
2017-03-16,Logan,2017,https://boxd.it/fwTaT,4,Yes,,2017-03-15
2017-03-18,Beauty and the Beast,2017,https://boxd.it/fB1WT,2.5,,,2017-03-17
2017-03-22,Doctor Strange,2016,https://boxd.it/fIvWj,3.5,Yes,,2017-03-20
2017-03-25,Nocturnal Animals,2016,https://boxd.it/fObUp,4.5,Yes,,2017-03-24
2017-03-31,What Dreams May Come,1998,https://boxd.it/fZLN7,2.5,,,2017-03-30
2017-03-31,The Belko Experiment,2016,https://boxd.it/g0uAd,2.5,,,2017-03-30
2017-04-05,Life,2017,https://boxd.it/gafh1,2,,"theatre, cobb",2017-04-04
2017-04-07,Ghost in the Shell,2017,https://boxd.it/gdKyt,3,,"theatre, cobb",2017-04-06
2017-04-12,The Assignment,2016,https://boxd.it/gnBkn,0.5,,"other, streaming",2017-04-11
2017-04-15,Gifted,2017,https://boxd.it/gt4sv,3.5,,"theatre, cobb",2017-04-14
2017-04-16,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/gtTUv,5,,"home, streaming",2017-04-15
2017-04-19,Mindwalk,1990,https://boxd.it/gzuh1,3,,"other, dvd",2017-04-18
2017-04-23,Free Fire,2016,https://boxd.it/gG3MP,3,,"theatre, cobb",2017-04-22
2017-04-28,King Arthur: Legend of the Sword,2017,https://boxd.it/gORJ3,1,,"theatre, amc, advance screening",2017-04-27
2017-04-29,Guardians of the Galaxy,2014,https://boxd.it/gQr0l,4,Yes,"home, streaming",2017-04-28
2017-05-02,The Martian,2015,https://boxd.it/gUh4b,3.5,,"other, dvd",2017-05-01
2017-05-04,The Lost City of Z,2016,https://boxd.it/gYfeV,4,,"theatre, cobb",2017-05-03
2017-05-05,Super,2010,https://boxd.it/gYZTF,3,,"home, streaming",2017-05-04
2017-05-05,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/gZBNl,3,,"theatre, cobb",2017-05-04
2017-05-07,Megamind,2010,https://boxd.it/h2nMJ,3.5,Yes,,2017-05-06
2017-05-10,Forrest Gump,1994,https://boxd.it/h7ubZ,4,Yes,,2017-05-09
2017-05-12,Hidden Figures,2016,https://boxd.it/ha3QR,3,Yes,"theatre, cobb",2017-05-11
2017-05-12,Memento,2000,https://boxd.it/haKOp,5,,"home, streaming",2017-05-11
2017-05-14,The Wall,2017,https://boxd.it/hcRHJ,3,,"theatre, cobb",2017-05-13
2017-05-18,Alien,1979,https://boxd.it/hhI2n,4,,"home, streaming",2017-05-17
