"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"Ghostbusters",2016,3,"","2016-07-14",2.48,117,"comedy","Paul Feig","Melissa McCarthy","Paul Feig","Brent White","Robert D. Yeoman","Theodore Shapiro","Dan Aykroyd","Ghost Corps","USA","English"
"Beverly Hills Cop",1984,3.5,"","2016-07-15",3.58,105,"action","Martin Brest","Eddie Murphy","Danilo Bach","Arthur Coburn","Bruce Surtees","Harold Faltermeyer","Jerry Bruckheimer","Paramount","USA","English"
"The Jungle Book",2016,3.5,"","2016-07-16",3.26,106,"drama","Jon Favreau","Neel Sethi","Rudyard Kipling","Mark Livolsi","Bill Pope","John Debney","Jon Favreau","Walt Disney Pictures","UK","English"
"Kung Fu Panda 3",2016,2.5,"","2016-07-18",3.14,95,"family","Jennifer Yuh Nelson","Jack Black","Glenn Berger","Clare Knight","Damon O'Beirne","Hans Zimmer","Guillermo del Toro","Pearl Studio","China","English"
"Hush",2016,3.5,"","2016-07-19",3.27,82,"horror","Mike Flanagan","Kate Siegel","Mike Flanagan","Mike Flanagan","James Kniest","Andrew Grush","Trevor Macy","Intrepid Pictures","USA","English"
"Galaxy Quest",1999,3.5,"","2016-07-20",3.68,101,"adventure","Dean Parisot","Tim Allen","David Howard","Don Zimmerman","Jerzy Zielinski","David Newman","Mark Johnson","Gran Via Productions","USA","English"
"Zootopia",2016,3.5,"","2016-07-20",3.74,109,"comedy","Byron Howard","Jason Bateman","Jim Reardon","Fabienne Rawley","Nathan Warner","Michael Giacchino","John Lasseter","Walt Disney Animation Studios","USA","English"
"The Running Man",1987,3,"","2016-07-24",3.24,101,"science-fiction","Paul Michael Glaser","Arnold Schwarzenegger","Steven E. de Souza","Mark Warner","Thomas Del Ruth","Harold Faltermeyer","George Linder","Braveworld Productions","USA","English"
"The Bourne Identity",2002,3,"","2016-07-26",3.67,119,"drama","Doug Liman","Matt Damon","Tony Gilroy","Saar Klein","Oliver Wood","John Powell","Frank Marshall","Universal Pictures","USA","English"
"The Bourne Supremacy",2004,4,"","2016-07-26",3.54,108,"thriller","Paul Greengrass","Matt Damon","Tony Gilroy","Richard Pearson","Oliver Wood","John Powell","Frank Marshall","Universal Pictures","Germany","English"
"The Bourne Ultimatum",2007,4,"","2016-07-26",3.64,115,"mystery","Paul Greengrass","Matt Damon","George Nolfi","Christopher Rouse","Oliver Wood","John Powell","Frank Marshall","Universal Pictures","France","English"
"Jason Bourne",2016,3.5,"","2016-07-28",2.86,123,"thriller","Paul Greengrass","Matt Damon","Paul Greengrass","Christopher Rouse","Barry Ackroyd","John Powell","Frank Marshall","The Kennedy/Marshall Company","UK","English"
"Hot Fuzz",2007,4,"","2016-07-30",4.04,121,"action","Edgar Wright","Simon Pegg","Edgar Wright","Chris Dickens","Jess Hall","David Arnold","Natascha Wharton","Universal Pictures","France","English"
"The Usual Suspects",1995,3.5,"","2016-07-31",3.98,106,"crime","Bryan Singer","Gabriel Byrne","Christopher McQuarrie","John Ottman","Newton Thomas Sigel","John Ottman","Robert Jones","Bad Hat Harry Productions","USA","English"
"The Secret Life of Pets",2016,2.5,"","2016-08-03",2.79,87,"family","Chris Renaud","Albert Brooks","Ken Daurio","Alexander Berner",NA,"Alexandre Desplat","Christopher Meledandri","Universal Pictures","USA","English"
"Man of Steel",2013,3.5,"","2016-08-21",2.9,143,"science-fiction","Zack Snyder","Henry Cavill","Christopher Nolan","David Brenner","Amir Mokri","Hans Zimmer","Charles Roven","DC Entertainment","UK","English"
"CafÃ© Society",2016,3.5,"theatre","2016-08-27",3.08,97,"drama","Woody Allen","Jesse Eisenberg","Woody Allen","Alisa Lepselter","Vittorio Storaro",NA,"Letty Aronson","Perdido Productions","USA","English"
"No Country for Old Men",2007,5,"","2016-09-03",4.27,122,"drama","Joel Coen","Tommy Lee Jones","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Joel Coen","Miramax","USA","English"
"Ben-Hur",2016,2,"","2016-09-04",2.37,125,"action","Timur Bekmambetov","Jack Huston","Lew Wallace","Dody Dorn","Oliver Wood","Marco Beltrami","Duncan Henderson","Metro-Goldwyn-Mayer","USA","English"
"Sweeney Todd: The Demon Barber of Fleet Street",2007,3.5,"","2016-09-11",3.44,116,"horror","Tim Burton","Johnny Depp","John Logan","Chris Lebenzon","Dariusz Wolski","Stephen Sondheim","John Logan","Tim Burton Productions","UK","English"
"Saving Private Ryan",1998,5,"","2016-09-17",4.16,169,"war","Steven Spielberg","Tom Hanks","Robert Rodat","Michael Kahn","Janusz Kaminski","John Williams","Gary Levinsohn","Paramount","USA","English"
"Sleepy Hollow",1999,3,"","2016-09-18",3.43,105,"fantasy","Tim Burton","Johnny Depp","Andrew Kevin Walker","Chris Lebenzon","Conrad L. Hall","Danny Elfman","Francis Ford Coppola","Paramount","Germany","English"
"Poltergeist",2015,1.5,"","2016-09-18",2.07,93,"horror","Gil Kenan","Sam Rockwell","Steven Spielberg","Bob Murawski","Javier Aguirresarobe","Marc Streitenfeld","Sam Raimi","TSG Entertainment","USA","English"
"The Truman Show",1998,4,"","2016-09-22",4.14,103,"comedy","Peter Weir","Jim Carrey","Andrew Niccol","William M. Anderson","Peter Biziou","Burkhard von Dallwitz","Scott Rudin","Paramount","USA","English"
"Interstellar",2014,4,"","2016-09-24",4.16,169,"science-fiction","Christopher Nolan","Matthew McConaughey","Christopher Nolan","Lee Smith","Hoyte van Hoytema","Hans Zimmer","Christopher Nolan","Legendary Pictures","UK","English"
"Masterminds",2016,2,"","2016-10-01",2.54,94,"action","Jared Hess","Zach Galifianakis","Hubbel Palmer","David Rennie","Erik Wilson","Geoff Zanelli","Adam Fields","Broadway Video","USA","English"
"Deepwater Horizon",2016,3.5,"","2016-10-05",3.35,107,"drama","Peter Berg","Mark Wahlberg","Matthew Michael Carnahan","Colby Parker Jr.","Enrique Chediak","Steve Jablonsky","Lorenzo Di Bonaventura","TIK Film","China","English"
"Popstar: Never Stop Never Stopping",2016,3.5,"","2016-10-06",3.56,86,"comedy","Akiva Schaffer","Andy Samberg","Akiva Schaffer","Craig Alpert","Brandon Trost","Matthew Compton","Judd Apatow","Universal Pictures","USA","English"
"Superbad",2007,4,"","2016-10-07",3.84,113,"comedy","Greg Mottola","Jonah Hill","Seth Rogen","William Kerr","Russ T. Alsobrook","Lyle Workman","Seth Rogen","Columbia Pictures","USA","English"
"The Infiltrator",2016,NA,"","2016-10-14",3.15,127,"crime","Brad Furman","Bryan Cranston","Ellen Brown Furman","Luis Carballar","Joshua Reis","Chris Hajian","Bryan Cranston","Good Films Collective","UK","English"
"Children of the Corn",1984,2.5,"","2016-10-15",2.74,93,"thriller","Fritz Kiersch","Peter Horton","Stephen King","Harry Keramidas","João Fernandes","Jonathan Elias","Donald P. Borchers","Planet Productions","USA","English"
